movieId,tmdbId,title,original_title,overview,release_date,poster_path,backdrop_path,tmdb_vote,vote_count,popularity,dtype
927,927,Gremlins,Gremlins,"After receiving an exotic small animal as a Christmas gift, a young man inadvertently breaks three important rules concerning his new pet, which unleashes a horde of malevolently mischievous creatures on a small town.",1984-06-08,/6m0F7fsXjQvUbCZrPWcJNrjvIui.jpg,/5UX6M0aEphiW6Xmy5rpYX75glbo.jpg,7.139,6835,6.5575,MOVIE
928,928,Gremlins 2: The New Batch,Gremlins 2: The New Batch,"Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",1990-06-15,/35F5yD7MljvBE2AC0NHAVCoPGEi.jpg,/iR3tV8NXFls4UKzPA60D4zrI7Jh.jpg,6.524,2817,3.4275,MOVIE
9340,9340,The Goonies,The Goonies,"Young teen Mikey Walsh and his friends set off on a quest to find Pirate One-Eyed Willie's treasure in hopes of saving their homes from demolition. However, on their quest to find the treasure, they run into a family of recently escaped criminals, determined to capture the kids and reach the treasure first.",1985-06-07,/eBU7gCjTCj9n2LTxvCSIXXOvHkD.jpg,/5qsyqA7FeYRymBmNbPBqBgqWPO4.jpg,7.511,6096,7.5403,MOVIE
9342,9342,The Mask of Zorro,The Mask of Zorro,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",1998-07-16,/bdMufwGDDzqu4kTSQwrKc5WR4bu.jpg,/wn0e4o0FYd2cBouOviUeTOWzL89.jpg,6.575,4243,4.1594,MOVIE
38509,38509,Polish Wedding,Polish Wedding,"The film centers on a big Polish family. Jadzia is the mother and the ruler of the Pzoniak family (she has five children). Though she's happily married to Bolek, she is also having a long-time affair with Roman. Her young daughter Hala is having an affair with neighbour cop Russell and becomes pregnant by him. Russell is pressed hard to marry Hala.",1998-01-16,/36De1BxBBzXyJ1eYVQlIoTUIwQm.jpg,/jw3090ZOcyegQCeHWdFkDsPIaRh.jpg,5.0,44,1.2311,MOVIE
60033,60033,"This World, Then the Fireworks","This World, Then the Fireworks","In 1950s, two incestuous lovers, a depraved suave journalist and his equally depraved prostitute sister, plan to get rich through seduction and murder.",1997-07-11,/vXO9T4rbJFVRF6BbABHe7VKJdj9.jpg,/yQQkeVg8AyXHF4FObrdHD2KntVG.jpg,5.0,29,0.5637,MOVIE
12101,12101,Soylent Green,Soylent Green,"In the year 2022, overcrowding, pollution,  and resource depletion have reduced society’s leaders to finding food for the teeming masses. The answer is Soylent Green.",1973-04-18,/5nbkShkOEXUoKVhaX0XG41wyBkq.jpg,/ga4JUb1dGnpesuztsGeMGMjj0fz.jpg,6.93,1378,7.1849,MOVIE
19,19,Metropolis,Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",1927-01-10,/kr9wXRN23zLuWJIelahas1mtnYj.jpg,/eeMoFKxjjiCi6iep2GEZtSAMYIr.jpg,8.102,3027,4.0048,MOVIE
165,165,Back to the Future Part II,Back to the Future Part II,"Marty and Doc are at it again as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",1989-11-22,/YBawEsTkUZBDajKbd5LiHkmMGf.jpg,/w6tPctxWAsHoQXeKxxNOT6lYKpx.jpg,7.774,13645,6.5787,MOVIE
196,196,Back to the Future Part III,Back to the Future Part III,"The final installment finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",1990-05-25,/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,/AtF7TESJEMmImBRUj9Z7HmW2ZH0.jpg,7.489,11277,5.3152,MOVIE
