movieId,tmdbId,title,original_title,overview,release_date,poster_path,backdrop_path,tmdb_vote,vote_count,popularity,dtype,originalLanguage
22588,22588,Radioland Murders,Radioland Murders,A series of mysterious crimes threatens the existence of a new radio network.,1994-10-21,/l9pvl3AH4UsUvLn4yUP0RR4pltx.jpg,/6TqfA0WFh9t5lhxPg9rwAswM9Yv.jpg,5.9,55,1.5577,MOVIE,en
10872,10872,The Ref,The Ref,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",1994-03-09,/ym7Kx3iDmalK8kXKvVQwnFYABEV.jpg,/jRFC2W21pWAwKUqbEmvG5mVbcle.jpg,6.548,367,1.398,MOVIE,en
1245,1245,The Remains of the Day,The Remains of the Day,A rule-bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,1993-11-05,/uDGDtqSvuch324WnM7Ukdp1bCAQ.jpg,/vFhxd3Z1zaV3Yu5XLpvWzSxJCe8.jpg,7.362,1447,3.9935,MOVIE,en
11858,11858,Renaissance Man,Renaissance Man,"An advertising man is slowly sliding downhill. When he is fired from his job in Detroit, he signs up for unemployment. One day they find him a job: teaching thinking skills to Army recruits. He arrives on base to find that there is no structure set up for the class.",1994-06-03,/iPRtaSfN8gNWFclgrcg5oD3V41i.jpg,/bNZ4G2h9EABULTThr7lEx9ODzoj.jpg,6.11,309,1.127,MOVIE,en
7007,7007,Rising Sun,Rising Sun,"When a prostitute is found dead in a Los Angeles skyscraper occupied by a large Japanese corporation, detectives John Connor and Web Smith are called in to investigate. Although Connor has previous experience working in Japan, cultural differences make their progress difficult until a security disc showing the murder turns up. Close scrutiny proves the disc has been doctored, and the detectives realize they're dealing with a cover-up as well.",1993-07-30,/jVWEeZ383peKxwE284AdyHqq6GH.jpg,/dmaLmrP3PYfhb8P2SWMucZCZqjk.jpg,6.138,815,2.3377,MOVIE,en
10467,10467,The Road to Wellville,The Road to Wellville,"An unhappy young couple visit the infamous Kellogg spa in Battle Creek, Michigan while a young hustler tries get into the breakfast-cereal business and compete against John Kellogg's corn flakes.",1994-10-28,/zh7OVdFMpqpZ027z9RgVIwzxYjZ.jpg,/ykiw5tftmlCsAXa8dMFA3rDbMKR.jpg,5.5,186,1.4712,MOVIE,en
5550,5550,RoboCop 3,RoboCop 3,"The mega corporation Omni Consumer Products is still bent on creating their pet project, Delta City, to replace the rotting city of Detroit. Unfortunately, the inhabitants of the area have no intention of abandoning their homes simply for desires of the company. To this end, OCP have decided to force them to leave by employing a ruthless mercenary army to attack and harass them. An underground resistance begins and in this fight, RoboCop must decide where his loyalties lie.",1993-01-21,/ppLSSwCuC5ERRWbu9H3R8SPL9AM.jpg,/5IevASZ9agBjA8SDDZLbBgFDbsP.jpg,4.899,1404,3.2849,MOVIE,en
8005,8005,Robin Hood: Men in Tights,Robin Hood: Men in Tights,"Robin Hood comes home after fighting in the Crusades to learn that the noble King Richard is in exile and that the despotic King John now rules England, with the help of the Sheriff of Rottingham. Robin Hood assembles a band of fellow patriots to do battle with King John and the Sheriff.",1993-07-28,/woexOLEkUlYsPLLuZRK6LjZaF38.jpg,/xFhpZ9UDUGXu52lCHdN39PIooRt.jpg,6.587,2215,5.2063,MOVIE,en
2088,2088,Romeo Is Bleeding,Romeo Is Bleeding,A corrupt cop gets in over his head when he tries to assassinate a beautiful Russian hit-woman.,1993-09-13,/ojXNRpHMXU99UFmF9MKKiJCymKr.jpg,/bI6fptNOG0mS2pNNZgbZSxuVaPN.jpg,6.3,203,1.4743,MOVIE,en
10412,10412,Romper Stomper,Romper Stomper,"Nazi skinheads in Melbourne take out their anger on local Vietnamese, who are seen as threatening racial purity. Finally the Vietnamese have had enough and confront the skinheads in an all-out confrontation, sending the skinheads running. A woman who is prone to epileptic seizures joins the skins' merry band, and helps them on their run from justice, but is her affliction also a sign of impurity?",1992-03-05,/urE3Jzl3zuz2XUmAq2rXubYn3SD.jpg,/cfGKEah2uUli5HPG1Ry3QK3lwDh.jpg,6.545,546,2.8885,MOVIE,en
47889,47889,Ruby in Paradise,Ruby in Paradise,"Reeling from her mother's recent death, Ruby Lee Gissing relocates to Florida to start anew. After finding a job at a souvenir store, Ruby becomes friends with the shop's owner, Mildred Chambers, and slowly acclimates to her new surroundings. Before long, she's juggling the affections of Mildred's Lothario son, Ricky, and the good-natured Mike. As she wavers between Ricky and Mike, Ruby also tries to come to terms with her past.",1993-10-08,/gk0vbIVYwpXxSf1wQbS2r9IsBoV.jpg,/zcPBI0vCuYkG9ml8E3loZPtI7Ye.jpg,5.9,36,0.6012,MOVIE,en
14534,14534,Rudy,Rudy,"Rudy grew up in a steel mill town where most people ended up working, but wanted to play football at Notre Dame instead. There were only a couple of problems. His grades were a little low, his athletic skills were poor, and he was only half the size of the other players. But he had the drive and the spirit of 5 people and has set his sights upon joining the team.",1993-09-17,/fAbfTCRpjHe2rprXBly55KL1dL9.jpg,/flzoI6jEw7J0X5x2rwOMZCwZ57I.jpg,7.3,727,3.8386,MOVIE,en
41878,41878,Savage Nights,Les Nuits fauves,"Jean is young, gay, and promiscuous. Only after he meets one or two women, including Laura, does he come to realize his bisexuality. Jean has to overcome a personal crisis and a tough choice between Laura and his male lover Samy.",1992-10-21,/wPzs0G2LV6shi0zpxdYOVZcuBDP.jpg,/skqgXTN4ioWCqykgVl2QnDkhtlh.jpg,6.4,79,0.7778,MOVIE,fr
424,424,Schindler's List,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,1993-12-15,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,8.6,17077,19.2841,MOVIE,en
35233,35233,The Scout,The Scout,"When his star recruit botches a Major League Baseball debut, humiliated talent scout Al Percolo gets banished to rural Mexico, where he finds a potential gold mine in the arm of young phenom Steve Nebraska. Soon, the New York Yankees put a $55 million contract on the table—provided a psychiatrist can affirm Nebraska's mental stability.",1994-09-30,/a5b1k4wmZShLu1Fo19SzcOJKRlD.jpg,/vfign3pdE9qeQoFChMA3rOKHO7r.jpg,5.201,117,1.4887,MOVIE,en
14291,14291,Searching for Bobby Fischer,Searching for Bobby Fischer,A seven-year-old chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,1993-08-13,/oAJpHkMpfXiFY9F3HocIz9fhHLc.jpg,/swXvzkH1oSVHh4flmcthXnusbwc.jpg,7.066,627,2.3853,MOVIE,en
11236,11236,The Secret Garden,The Secret Garden,"A young British girl born and reared in India loses her neglectful parents in an earthquake. She is returned to England to live at her uncle's castle. Her uncle is very distant due to the loss of his wife ten years before. Neglected once again, she begins exploring the estate and discovers a garden that has been locked and forgotten. Aided by one of the servants' boys, she begins restoring the garden, and eventually discovers some other secrets of the manor.",1993-08-13,/zf6h5dJ7wVG7LqMO9dhHGHVejzj.jpg,/8s7FJ9dHXgeFZdvxfjPmrrJh6EC.jpg,7.425,956,2.2372,MOVIE,en
11592,11592,Serial Mom,Serial Mom,"Beverly is the perfect happy homemaker, along with her doting husband and two children, but this nuclear family just might explode when her fascination with serial killers collides with her ever-so-proper code of ethics.",1994-04-13,/vAZkFho9YdIXPmMdHMwr10Go2FF.jpg,/gRbQWU1MbdphvioR25UAGGKMQsh.jpg,6.7,750,1.9589,MOVIE,en
8850,8850,The Shadow,The Shadow,"Based on the 1930s comic strip, The Shadow is put up against his archenemy Shiwan Khan, who plans to take over the world by holding a city to ransom using an atom bomb. Using his powers of invisibility and ""the power to cloud men's minds"", The Shadow comes blazing to the rescue with explosive results.",1994-07-01,/xAbFJH3vQYZvUyzzGAtG4OLy492.jpg,/j3CMtQbRS4bBAuRuoTBpnPAaHSj.jpg,6.071,553,2.2271,MOVIE,en
